id,deepseek_glevel,deepseek_123,n_models_agree,n_models_total
5eea18fc3e537f0c21f2e9df,LOW,1,20,28
5ef9df1812148a78af8e76dc,MEDIUM,2,11,28
5f18ff404f90fe1473c2e3b6,MEDIUM,2,4,28
5f400d4a51a8cd1011b37455,MEDIUM,2,9,28
5f44c445cfb0a801244f652f,MEDIUM,2,2,28
5f58d7941af44708223b94da,MEDIUM,2,0,28
5f6d0c1efaad4d16c44fdd6d,HIGH,3,27,28
5f7b85c23139fa143589b106,MEDIUM,2,25,28
5faef0fba9c3220dc424c28b,LOW,1,28,28
5fba83d59b6574a3b7a9cdef,LOW,1,17,28
5ffc97615991d411f8ceff96,HIGH,3,16,28
60008e2ee4d8c913c602e0cd,HIGH,3,3,28
6010b85d6f53774500088add,MEDIUM,2,5,28
602b5ccc19eacc286402decf,MEDIUM,2,0,28
603fa7d057d382087d66d1c2,LOW,1,10,28
606be72bace337114c3765ba,MEDIUM,2,1,28
60960a29d02b9ada38f583b5,LOW,1,4,28
60a30f9cd72ab8c6198d1bf6,HIGH,3,21,28
60b8e59ef963cd7c6989cd37,MEDIUM,2,5,28
60c90880a1658fe3dd81094d,MEDIUM,2,6,28
60ca70f0bb3fef9c094682eb,LOW,1,24,28
60ca933bf8c977b730f77adb,HIGH,3,26,28
60fd5824d314436829b64e0a,MEDIUM,2,1,28
60fde4a578cf2748430c899c,MEDIUM,2,7,28
60fee0ff7ad35c6bfa536947,MEDIUM,2,6,28
60ff143e987163faf9bf15d6,MEDIUM,2,13,28
60ff1e2a6e2955fdf4315335,MEDIUM,2,12,28
60ff5a85c957076686176e22,HIGH,3,26,28
610075fa5484c42a0afefc8c,HIGH,3,0,28
6102f78ac1791768db58ed54,MEDIUM,2,11,28
610ed1ac68f6c344f9a8b17d,LOW,1,27,28
6110d5e5c6ce466532978870,MEDIUM,2,3,28
6111502e4dba0ac8447e8c28,LOW,1,3,28
61117b4c2cfd3745eb8c4087,LOW,1,6,28
6114536a855a3dde7292bdde,LOW,1,9,28
611844d4991f934439fb1c09,MEDIUM,2,1,28
611c60d5deace46324300f93,MEDIUM,2,5,28
612065dc0aa390e70c9848ff,LOW,1,16,28
61213e741b9f968b5a292acb,MEDIUM,2,10,28
6121aaee9d29f0c6e3bc8bea,LOW,1,6,28
6143af8721d1445864c4f6c8,MEDIUM,2,3,28
614e0f70c4f1690a32f4b1a4,HIGH,3,11,28
614f3f044ab295ed97809caa,MEDIUM,2,4,28
615009a911243c691332e533,MEDIUM,2,1,28
61523f5edff0567aa388e752,HIGH,3,15,28
620bdccba922fc3f247f6adb,HIGH,3,22,28
6234a71d1b478a615e51ab69,LOW,1,4,28
62699ca4c48ff1d410fcd8f7,HIGH,3,17,28
6269dec10f8322b86513df05,MEDIUM,2,10,28
627121bbdd4e39bcc0a0079f,LOW,1,10,28
62878aaca0be0ca1e7a3e553,LOW,1,1,28
628fa4639666e8550aa139d5,LOW,1,28,28
6294de1b341cd20e308d1a4a,MEDIUM,2,12,28
6294e3dd871a695346c5d97a,MEDIUM,2,6,28
6297a75cd3f65c8152c48c2d,MEDIUM,2,4,28
62989737409d018c733483c1,LOW,1,28,28
62a731da9fe4975958c14948,HIGH,3,11,28
62a9513ae9305607fd5af01a,MEDIUM,2,11,28
62acb8e852416f340637c4cc,HIGH,3,22,28
62b32a0ea4ec7b2c14906e26,MEDIUM,2,1,28
62b9b95e108fbc4df78a2956,LOW,1,8,28
62c2f317234b9ce70f6d3578,LOW,1,1,28
62d458437af301fdbda37ebf,LOW,1,0,28
62d59a7b40c07da2c0a5b473,MEDIUM,2,1,28
62e6bfc9a37d8881f96efd81,LOW,1,7,28
62eecc131c4b40e5a9fdb8c0,MEDIUM,2,7,28
62f27a3248a586b50eb6770b,LOW,1,19,28
62f7899403f442ec3cbb6bae,MEDIUM,2,7,28
62fe7fcc250311d93a7d6268,LOW,1,13,28
6314e875f7c98f1d344b2e3f,MEDIUM,2,4,28
631636ea6359694a5ae0be31,MEDIUM,2,10,28
6318ede447b67917e308d47a,LOW,1,5,28
631b7e747ad94015bc372ca4,MEDIUM,2,8,28
63235c5bf70d8e4f79b205cd,MEDIUM,2,12,28
632ff41f3631baf749984e3e,MEDIUM,2,18,28
6330deabf9912c7e44d35a69,MEDIUM,2,7,28
6331b9456956d880a1e4632f,LOW,1,3,28
6335fd309608ba9c606477fc,MEDIUM,2,8,28
6346ec54d92718e50403c433,HIGH,3,24,28
6361498e831b3d9b3319fd7a,MEDIUM,2,11,28
63614a372fef8174fe8363f1,LOW,1,4,28
63616da01c4fd05b28584b14,LOW,1,0,28
6361a6a7be16d8144319fd3a,LOW,1,3,28
637e384ecec03b1103500c04,MEDIUM,2,11,28
6384d848165f7e57de28607c,MEDIUM,2,1,28
6394e83b4be197877056c3bd,HIGH,3,23,28
639f81939ef6d257c948425c,HIGH,3,4,28
63a4beddbca210e467a24f32,MEDIUM,2,4,28
63b5cb851b4ecdfcf20e92bd,HIGH,3,8,28
63b6d3e17fd3063a57be2512,MEDIUM,2,4,28
63bc6e03a6ee3b96041c5e7c,MEDIUM,2,8,28
63c25e4d8faec4d0ce9b0971,LOW,1,28,28
